fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_min, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-06-17T09:26:45, 1686994005,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5007,  0.0140,  0.5008,  12.399,  12.393,   0.570, 256, 0,
unit_f, 2023-06-17T09:26:55, 1686994015,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5019,  0.0140,  0.5022,  12.322,  12.307,   0.801, 416, 256,
unit_f, 2023-06-17T09:26:55, 1686994015,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5020,  0.0140,  0.5022,  12.319,  12.303,   0.807, 416, 288,
unit_f, 2023-06-17T09:27:05, 1686994025,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5032,  0.0140,  0.5034,  12.269,  12.242,   0.887, 416, 288,
unit_f, 2023-06-17T09:26:45, 1686994005,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5007,  0.0140,  0.5008,  12.399,  12.393,   0.570, 256, 0,
unit_f, 2023-06-17T09:26:55, 1686994015,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5019,  0.0140,  0.5022,  12.322,  12.307,   0.801, 416, 256,
unit_f, 2023-06-17T09:26:55, 1686994015,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5020,  0.0140,  0.5022,  12.319,  12.303,   0.807, 416, 288,
unit_f, 2023-06-17T09:27:05, 1686994025,   0.058,  13.152,   0.000,   0.000,  25.000,  13.152,  50.000,  0.5032,  0.0140,  0.5034,  12.269,  12.242,   0.887, 416, 288,
unit_f, 2023-06-17T09:27:38, 1686994058,   0.058,  13.155,   0.000,   0.000,  25.000,  13.155,   0.000,  0.5059,  0.0140,  0.5059,  13.155,  13.155,   0.000, 0, 0,
unit_f, 2023-06-17T09:27:48, 1686994068,   0.058,  13.155,   0.000,   0.000,  25.000,  13.155,   0.000,  0.5059,  0.0140,  0.5059,  13.155,  13.155,   0.000, 0, 0,
