unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,  Tb,  Vb,  Ib,   ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro_20220917, 2022-09-19T14:30:52,       179.709, 2.000,   0,  0,  0,  15,  25.0,13.080,     0.000,     0.000,13.07998,    13.80000,0.00000,13.08000,13.07998,   0.000017, 0.50000,0.49993,0.49993,
pro_20220917, 2022-09-19T14:30:54,       181.709, 2.000,   0,  0,  0,  15,  25.0,13.080,     0.000,     0.000,13.07998,    13.80000,0.00000,13.08000,13.07998,   0.000017, 0.50000,0.49993,0.49993,
pro_20220917, 2022-09-19T14:30:56,       183.709, 2.000,   0,  0,  0,  15,  25.0,13.080,     0.000,     0.000,13.07998,    13.80000,0.00000,13.08000,13.07998,   0.000017, 0.50000,0.49993,0.49993,
pro_20220917, 2022-09-19T14:30:58,       185.709, 2.000,   0,  0,  0,  15,  25.0,13.080,     0.000,     0.000,13.07998,    13.80000,0.00000,13.08000,13.07998,   0.000017, 0.50000,0.49993,0.49993,
pro_20220917, 2022-09-19T14:31:00,       187.709, 2.000,   0,  0,  0,  15,  25.0,13.080,     0.000,     0.000,13.07998,    13.80000,0.00000,13.08000,13.07998,   0.000017, 0.50000,0.49993,0.49993,
pro_20220917, 2022-09-19T14:31:02,       189.709, 2.000,   0,  0,  0,  15,  25.0,13.081,     0.000,     0.000,13.07998,    13.80000,0.00000,13.08083,13.07998,   0.000846, 0.50276,0.49993,0.49993,
pro_20220917, 2022-09-19T14:31:04,       191.709, 2.000,   0,  0,  0,  15,  25.0,19.201,   497.380,     0.000,13.07998,    13.80000,6.11777,13.08285,13.08122,   0.001625, 0.50810,0.50272,0.50269,
pro_20220917, 2022-09-19T14:31:06,       193.709, 2.000,   0,  0,  0,  15,  25.0,24.940,   963.507,     0.183,13.07998,    13.80000,11.85114,13.08593,13.08365,   0.002277, 0.51570,0.50811,0.50803,
pro_20220917, 2022-09-19T14:31:08,       195.709, 2.000,   0,  0,  0,  15,  25.0,29.934,  1369.094,     0.532,13.08121,    13.80000,16.83986,13.08988,13.08710,   0.002778, 0.52507,0.51578,0.51563,
pro_20220917, 2022-09-19T14:31:10,       197.709, 2.000,   0,  0,  0,  15,  25.0,33.872,  1688.656,     1.016,13.08362,    13.80000,20.77047,13.09445,13.09136,   0.003092, 0.53562,0.52523,0.52500,
pro_20220917, 2022-09-19T14:31:12,       199.709, 2.000,   0,  0,  0,  15,  25.0,36.506,  1902.113,     1.593,13.08703,    13.80000,23.39599,13.09935,13.09615,   0.003200, 0.54669,0.53589,0.53555,
pro_20220917, 2022-09-19T14:31:14,       201.709, 2.000,   0,  0,  0,  15,  25.0,37.670,  1996.053,     2.219,13.09125,    13.80000,24.55146,13.10428,13.10118,   0.003099, 0.55759,0.54706,0.54662,
pro_20220917, 2022-09-19T14:31:16,       203.709, 2.000,   0,  0,  0,  15,  25.0,37.290,  1964.575,     2.849,13.09600,    13.80000,24.16427,13.10893,13.10613,   0.002797, 0.56763,0.55807,0.55752,
pro_20220917, 2022-09-19T14:31:18,       205.709, 2.000,   0,  0,  0,  15,  25.0,35.392,  1809.654,     3.445,13.10098,    13.80000,22.25875,13.11299,13.11069,   0.002303, 0.57617,0.56820,0.56756,
pro_20220917, 2022-09-19T14:31:20,       207.709, 2.000,   0,  0,  0,  15,  25.0,32.094,  1541.027,     3.973,13.10588,    13.80000,18.95463,13.11623,13.11457,   0.001657, 0.58270,0.57683,0.57611,
pro_20220917, 2022-09-19T14:31:22,       209.709, 2.000,   0,  0,  0,  15,  25.0,27.603,  1175.571,     4.408,13.11040,    13.80000,14.45952,13.11843,13.11754,   0.000898, 0.58678,0.58341,0.58263,
pro_20220917, 2022-09-19T14:31:24,       211.709, 2.000,   0,  0,  0,  15,  25.0,22.201,   736.249,     4.731,13.11425,    13.80000,9.05587,13.11946,13.11939,   0.000071, 0.58817,0.58754,0.58671,
pro_20220917, 2022-09-19T14:31:26,       213.709, 2.000,   0,  0,  0,  15,  25.0,16.229,   250.667,     4.929,13.11718,    13.80000,3.08320,13.11925,13.12002,  -0.000773, 0.58678,0.58894,0.58810,
pro_20220917, 2022-09-19T14:31:28,       215.709, 2.000,   0,  0,  0,  15,  25.0,10.061,  -250.666,     4.995,13.11902,    13.80000,-3.08319,13.11781,13.11939,  -0.001576, 0.58269,0.58754,0.58671,
pro_20220917, 2022-09-19T14:31:30,       217.709, 2.000,   0,  0,  0,  15,  25.0, 4.084,  -736.249,     4.927,13.11965,    13.80000,-9.05586,13.11524,13.11754,  -0.002293, 0.57616,0.58341,0.58262,
pro_20220917, 2022-09-19T14:31:32,       219.709, 2.000,   0,  0,  0,  15,  25.0,-1.325, -1175.570,     4.726,13.11902,    13.80000,-14.45951,13.11169,13.11457,  -0.002878, 0.56760,0.57683,0.57609,
pro_20220917, 2022-09-19T14:31:34,       221.709, 2.000,   0,  0,  0,  15,  25.0,-5.827, -1541.026,     4.400,13.11718,    13.80000,-18.95462,13.10740,13.11069,  -0.003294, 0.55754,0.56820,0.56753,
pro_20220917, 2022-09-19T14:31:36,       223.709, 2.000,   0,  0,  0,  15,  25.0,-9.139, -1809.654,     3.962,13.11424,    13.80000,-22.25874,13.10261,13.10613,  -0.003515, 0.54663,0.55807,0.55747,
pro_20220917, 2022-09-19T14:31:38,       225.709, 2.000,   0,  0,  0,  15,  25.0,-11.053, -1964.574,     3.432,13.11039,    13.80000,-24.16426,13.09765,13.10118,  -0.003528, 0.53554,0.54706,0.54656,
pro_20220917, 2022-09-19T14:31:40,       227.709, 2.000,   0,  0,  0,  15,  25.0,-11.448, -1996.053,     2.833,13.10586,    13.80000,-24.55146,13.09282,13.09615,  -0.003331, 0.52497,0.53589,0.53547,
pro_20220917, 2022-09-19T14:31:42,       229.709, 2.000,   0,  0,  0,  15,  25.0,-10.300, -1902.113,     2.201,13.10095,    13.80000,-23.39599,13.08842,13.09136,  -0.002936, 0.51559,0.52523,0.52490,
pro_20220917, 2022-09-19T14:31:44,       231.709, 2.000,   0,  0,  0,  15,  25.0,-7.681, -1688.656,     1.573,13.09596,    13.80000,-20.77047,13.08473,13.08710,  -0.002367, 0.50798,0.51578,0.51552,
pro_20220917, 2022-09-19T14:31:46,       233.709, 2.000,   0,  0,  0,  15,  25.0,-3.756, -1369.095,     0.994,13.09121,    13.80000,-16.83986,13.08199,13.08365,  -0.001663, 0.50263,0.50811,0.50791,
pro_20220917, 2022-09-19T14:31:48,       235.709, 2.000,   0,  0,  0,  15,  25.0, 1.230,  -963.508,     0.509,13.08698,    13.80000,-11.85115,13.08035,13.08122,  -0.000867, 0.49987,0.50271,0.50256,
pro_20220917, 2022-09-19T14:31:50,       237.709, 2.000,   0,  0,  0,  15,  25.0, 6.962,  -497.381,     0.160,13.08356,    13.80000,-6.11778,13.07997,13.07998,  -0.000016, 0.49987,0.49993,0.49980,
pro_20220917, 2022-09-19T14:31:52,       239.709, 2.000,   0,  0,  0,  15,  25.0,13.080,    -0.001,    -0.024,13.08115,    13.80000,-0.00001,13.07997,13.07998,  -0.000016, 0.49987,0.49993,0.49980,
pro_20220917, 2022-09-19T14:31:54,       241.709, 2.000,   0,  0,  0,  15,  25.0,13.080,     0.000,    -0.024,13.07995,    13.80000,0.00000,13.07997,13.07998,  -0.000016, 0.49987,0.49993,0.49980,
pro_20220917, 2022-09-19T14:31:56,       243.709, 2.000,   0,  0,  0,  15,  25.0,13.080,     0.000,    -0.024,13.07995,    13.80000,0.00000,13.07997,13.07998,  -0.000016, 0.49987,0.49993,0.49980,
