unit,               hm,                  cTime,       dt,       chm,sat,sel,mod,bmso, Tb,  Vb,  Ib,   ioc,  voc_soc,    Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,
pro_20221028, 2022-11-13T17:03:50,  61670037.770, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670037.870, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670037.970, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,   500.000,     0.000,13.08000,    13.80000,1.50000,11.57861,13.08000,   0.000000, 0.50000,0.50000,0.50014,
pro_20221028, 2022-11-13T17:03:50,  61670038.070, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,  -500.000,     0.173,13.08000,    13.80000,-1.09536,14.17536,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670038.170, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08006,    13.80000,-0.20001,13.28001,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670038.270, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.10001,13.18001,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670038.370, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.05001,13.13001,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670038.470, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.02501,13.10501,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670038.570, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.01251,13.09251,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:50,  61670038.670, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00626,13.08626,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:51,  61670038.770, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00313,13.08313,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:51,  61670038.870, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00157,13.08157,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:51,  61670038.970, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00079,13.08079,13.08000,   0.000000, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:51,  61670039.070, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00040,13.08040,13.08000,   0.000397, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:51,  61670039.170, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00020,13.08020,13.08000,   0.000397, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:51,  61670039.270, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00010,13.08010,13.08000,   0.000397, 0.50000,0.50000,0.50000,
pro_20221028, 2022-11-13T17:03:51,  61670039.370, 0.100,   0,  0,  0,  7,  0, 25.0,13.080,     0.000,    -0.000,13.08000,    13.80000,-0.00005,13.08005,13.08000,   0.000397, 0.50000,0.50000,0.50000,
